nuncira	nuncira (1)(1.0): nuncira
dsiaz	diaz (3)(0.800000011920929): diaz, diuaz, dsiaz
pulgar	pulga, pulgar (2)(0.8333333134651184): pulga, pulgar
suaso	suazo (3)(0.800000011920929): suaso, suaza, suazo
rangel	angel (3)(0.8166666626930237): algel, angel, rangel
giral	giral (4)(0.7242063482602438): ghiraldo, giral, giraldo, guiral
gallegos	gallegos, vallejos (4)(0.75): gallego, gallegos, vallejo, vallejos
palmas	palma (3)(0.8333333134651184): palma, palmas, paloma
sestoque	sastoque (4)(0.8125): fautoque, santoque, sastoque, sestoque
guatibonza	guatibonza (3)(0.8999999761581421): guatibonza, guatiboza, guativonza
cumbal	cumbal (1)(1.0): cumbal
bolibar	bolivar (3)(0.8571428656578064): bolibar, bolivar, olivar
torrejano	torrejano (1)(1.0): torrejano
rojar	rojas (5)(0.8166666626930237): roajas, rodas, rojar, rojas, rosas
liberato	liberato (1)(1.0): liberato
marciales	marciales (1)(1.0): marciales
buitrgo	buitrago (7)(0.8819444477558136): buirago, buitgrago, buitragio, buitrago, buitraqgo, buitrgo, buuitrago
curtidur	curtidor (3)(0.875): curtidor, curtidur, cutidor
correales	correales (3)(0.8333333432674408): cordeles, corrales, correales
alvarado	alvarado (5)(0.8125): albarado, alvarado, alvarao, alvardo, alvaro
fiquitiva	fiquitiva (1)(1.0): fiquitiva
tiusaba	tiusaba (1)(1.0): tiusaba
coredero	corredor (5)(0.7962962985038757): cordero, coredero, coredor, corrdedor, corredor
osma	osma, usma (2)(0.75): osma, usma
munar	munevar (5)(0.7857142984867096): monevar, munar, munebar, munevar, munrvar
alonso	alfonso (5)(0.7857142984867096): alfanso, alfonso, alfonzo, alonso, alonzo
raquira	foraquira, raquira (2)(0.7777777910232544): foraquira, raquira
lesmas	lesmes (3)(0.8333333134651184): lesmas, lesmes, lesmez
campuzano	campusano, campuzano (2)(0.8888888955116272): campusano, campuzano
vcargas	vargas (5)(0.8452380895614624): varga, vargas, vargaz, vasrgas, vcargas
cendales	cendales, sendales (2)(0.875): cendales, sendales
higueras	higuera (6)(0.8660714328289032): hifuera, higuera, higueras, higura, huguera, huiguera
toloza	soloza (5)(0.7857142686843872): solorza, solosa, soloza, tolosa, toloza
capador	amador (3)(0.7738095223903656): amado, amador, capador
munevar	munevar (5)(0.7857142984867096): monevar, munar, munebar, munevar, munrvar
nieto	pieto (3)(0.8166666626930237): nieto, pieto, prieto
berbesi	berbeo, berbesi (2)(0.7142857313156128): berbeo, berbesi
tascon	gascon, tascon (2)(0.8333333134651184): gascon, tascon
gimenez	jimenez (10)(0.8660714328289032): gimenez, jiemenez, jimemez, jimemnez, jimene, jimeneez, jimenes, jimenez, jimennez, jumenez
chizabo	chizabo, chizavo (2)(0.8571428656578064): chizabo, chizavo
yerena	gerena (4)(0.8452380895614624): gereda, gerena, gerenas, yerena
guilleng	guillen (5)(0.8660714328289032): gillen, guillen, guilleng, guillent, guillin
cotamo	cotame (3)(0.8333333134651184): catame, cotame, cotamo
mina	mina (1)(1.0): mina
lotero	botero, lotero, otero (3)(0.8333333134651184): botero, lotero, otero
molares	morales (3)(0.8660714328289032): molrales, morakes, morales
guarnizo	guarnizo (1)(1.0): guarnizo
ontibon	ontibon (1)(1.0): ontibon
mambuscay	mambuscay (1)(1.0): mambuscay
deoyes	deoyes (1)(1.0): deoyes
arango	arango, brango (2)(0.8333333134651184): arango, brango
vicents	vicentes (3)(0.875): vicente, vicentes, vicents
ortis	ortiz (5)(0.8166666626930237): ortin, ortis, ortix, ortiz, orytiz
plata	plaza (4)(0.8166666626930237): plata, plaza, plazas, plazaz
aristizabal	aristizabal, ariztizabal (2)(0.9090908765792847): aristizabal, ariztizabal
neite	neita (5)(0.800000011920929): neita, neite, neiva, neiza, neuta
ariza	ariza (1)(1.0): ariza
cuchivaque	cuchivague (6)(0.8696969548861185): cuchibague, cuchimaque, cuchivage, cuchivague, cuchivaguen, cuchivaque
desalvador	desalvador, salvador (2)(0.800000011920929): desalvador, salvador
lombano	lombano (1)(1.0): lombano
uscatequi	uscategui (4)(0.8555555542310079): euscategui, ucastegui, uscategui, uscatequi
rubiaqno	rubiano (3)(0.8660714328289032): ribiano, rubiano, rubiaqno
orellano	arellano, orellano (2)(0.875): arellano, orellano
taazona	taazona (3)(0.7946428656578064): alzona, taazona, tarazona
nonzaque	nonzoque (4)(0.875): monzoque, nonsoque, nonzaque, nonzoque
cabanzo	cabanzo (3)(0.8571428656578064): cabanzo, cavanzo, gabanzo
gamarra	tamara, zamara (3)(0.7142857313156128): gamarra, tamara, zamara
quiñones	quiñones, quiñonez (4)(0.8125): quiñones, quiñonez, quiñoñez, quñones
vanoli	vanoli (1)(1.0): vanoli
villabos	villabos (4)(0.7759259343147278): villabona, villabos, villalobos, villazon
guayacan	guayaban, guayacan, guayasan, guayatan, guayazan (6)(0.75): guayaban, guayacan, guayara, guayasan, guayatan, guayazan
cañlderon	calderon (4)(0.8379629651705424): caldero, calderon, calero, cañlderon
sotachan	sotachan, sutachan (2)(0.875): sotachan, sutachan
sutachan	sotachan, sutachan (2)(0.875): sotachan, sutachan
mantilla	mantilla (5)(0.8125): bastilla, castilla, mancilla, mantilla, montilla
guiza	guiza (6)(0.8166666626930237): guina, guisa, guiza, guizao, juiza, tuiza
tenza	tensa (3)(0.800000011920929): mensa, tensa, tenza
cusva	cusba, cusva (2)(0.800000011920929): cusba, cusva
jimeneez	jimenez (10)(0.8660714328289032): gimenez, jiemenez, jimemez, jimemnez, jimene, jimeneez, jimenes, jimenez, jimennez, jumenez
pira	pira, pita, piña (3)(0.75): pira, pita, piña
buitraqgo	buitrago (7)(0.8819444477558136): buirago, buitgrago, buitragio, buitrago, buitraqgo, buitrgo, buuitrago
godoy	godoy (1)(1.0): godoy
valles	valles (5)(0.7658730149269104): valdes, valle, vallejo, vallejos, valles
rondon	rendon, rondon (2)(0.8333333134651184): rendon, rondon
fomeque	nomesque, nomezque (3)(0.75): fomeque, nomesque, nomezque
villamicar	villamir (5)(0.8375000059604645): villamicar, villamil, villamir, villamizar, villamor
choconta	chochonta, choconta (2)(0.8888888955116272): chochonta, choconta
wilchaz	wilchez (3)(0.8571428656578064): wilchaz, wilches, wilchez
sanchsz	sanchez (11)(0.8660714328289032): anchez, saanchez, sanachez, sanche, sanchea, sanches, sanchez, sanchezs, sanchsz, sanhez, zanchez
castelllanos	castellanos (11)(0.8257575780153275): casteblanco, casteblancoo, castelblanco, castellamos, castellano, castellanos, castellenos, castelllanos, castllanos, catellanos, cstellanos
tojuelo	tojuelo, tunjuelo (2)(0.75): tojuelo, tunjuelo
casalla	casallas (4)(0.7962962985038757): casalla, casallas, casalllas, castllo
quiñoñez	quiñones, quiñonez (4)(0.8125): quiñones, quiñonez, quiñoñez, quñones
aenz	saenz (5)(0.8166666626930237): aenz, saens, saenz, sahenz, sawenz
lee	lee (1)(1.0): lee
cediel	cediel (1)(1.0): cediel
raga	raga (5)(0.7750000059604645): raba, rada, raga, ragua, rava
ocaña	ocaña (4)(0.800000011920929): caña, ocaña, ocaño, omaña
monsoque	monsoque (5)(0.8083333373069763): monastoque, monsoque, monzoque, nonsoque, nonzoque
tibana	tibana, tibata (3)(0.7142857313156128): tibagan, tibana, tibata
mozo	mozo (1)(1.0): mozo
bertilde	bertilde (1)(1.0): bertilde
ruyer	rujer (3)(0.800000011920929): ruje, rujer, ruyer
esmith	esmith, smith (2)(0.8333333134651184): esmith, smith
mallorga	matorga, mayorga (3)(0.75): mallorga, matorga, mayorga
amado	amado (3)(0.7738095223903656): amado, amador, armando
gualdron	gualdron (3)(0.8125): gualdron, gualtron, waldron
tuiza	guiza (4)(0.8166666626930237): guiza, guizao, juiza, tuiza
belisario	belisario (1)(1.0): belisario
barrteo	barreto (7)(0.8154761989911398): bareto, barrato, barrero, barrerto, barreto, barrote, barrteo
cardoza	cardoza (3)(0.8571428656578064): cardona, cardoza, cardozo
vernal	bernal (5)(0.8333333134651184): benal, berna, bernal, brnal, vernal
lineros	lineros, pineros (2)(0.8571428656578064): lineros, pineros
