1: 28 - odriguez, redriguez, ridriguez, robriguez, rodiguez, rodirguez, rodlriguez, rodrdiguez, rodreiguez, rodrgiuez, rodrguez, rodrifguez, rodrigez, rodrigguez, rodrigiuez, rodrigo, rodriguaz, rodrigue, rodriguez, rodriguiez, rodrigurez, rodriguuez, rodriuez, rodruiguez, rofdriguez, rogriguez, ropdriguez, srodriguez
2: 13 - ernandez, fenrnadez, fernadez, fernadnez, fernandez, fernanez, henandez, herandez, hernadez, hernanadez, hernandez, hernnadez, hrnandez
3: 13 - maertinez, marinez, maritinez, martienz, martinaz, martines, martinexz, martinez, martineza, martinezs, martiniez, martiñez, mmartinez
4: 13 - ganzalez, gomzalez, gonazalez, gonzaez, gonzale, gonzalea, gonzales, gonzalez, gonzalñez, gonzaqlez, gonzlaez, gonzxalez, gozalez
5: 11 - cadena, caedenas, caradenas, cardena, cardenal, cardenas, cardenass, cardens, cardernas, crdenas, crdens
6: 11 - gitierrez, guierrez, guitierrez, gurtierrez, gutieeres, gutierez, gutierreez, gutierres, gutierrez, gutirrez, guutierrez
7: 10 - bareto, barrato, barreiro, barrero, barrerto, barreto, barrote, barrteo, berreto, carrero
8: 10 - casteblanco, casteblancoo, castelanco, castelblanco, castibalco, castiblanco, castilblanco, catiblanco, csatiblanco, gastelblanco
9: 9 - banavides, banavidez, benabides, benavide, benavides, benavidez, benevides, benvides, venavides
10: 9 - guerero, guerreo, guerrero, guerrreo, guerrrero, guerrro, gurerrero, gurrero, guyerrero
11: 9 - acheverria, cheverria, eceheverria, echecerria, echeverri, echeverria, echeverrria, echeverry, echevery
12: 9 - gimenez, jimemez, jimemnez, jimene, jimeneez, jimenes, jimenez, jimennez, jumenez
13: 9 - mandoza, medoza, memdoza, mendosa, mendoza, menoza, mjendoza, mondoza, nendoza
14: 9 - anchez, saanchez, sanachez, sanche, sanchea, sanches, sanchez, sanchezs, zanchez
15: 9 - castellamos, castellano, castellanos, castellejo, castellenos, castelllanos, castllanos, catellanos, cstellanos
16: 8 - alferez, alvaraez, alvares, alvarez, alviarez, alvrez, avarez, lvarez
17: 8 - salamamca, salamanaca, salamanca, salamca, salamnca, salanmanca, slamanca, solamanca
18: 8 - bacerra, becarra, beccera, beccerra, becera, becerra, becerrra, bercerra
19: 8 - baarera, barrara, barreara, barreba, barrera, barrra, barrrera, brrera
20: 7 - epitia, esitia, espiti, espitia, espitua, esptia, ospitia
21: 7 - bosa, nosa, sasa, sisa, sora, sosa, susa
22: 7 - cahaparro, chaparo, chaparro, chaparroa, chaparrro, chaprro, chavarro
23: 7 - betancort, betancour, betancourt, betancourth, betancur, betancurt, betancuurt
24: 7 - fegueredo, figeredo, figueredo, figuereo, figuereso, figuerredo, rigueredo
25: 7 - cantillo, casatillo, castillo, castrillo, castrillon, catillo, cstillo
26: 6 - alean, galan, galana, galeano, galeon, galvan
27: 6 - ciza, diza, iza, oiza, piza, siza
28: 6 - epinosa, espindola, espiniosa, espinos, espinosa, espinoza
29: 6 - valandia, veladia, velandi, velandia, velandoia, veñandia
30: 6 - balbuena, calbuena, vabuena, valbuena, valvuena, vilbuena
31: 6 - ribero, riberos, rivero, riveros, vivero, viveros
32: 6 - canteras, conteras, contrerar, contreras, contrras, ontreras
33: 6 - buirago, buitgrago, buitragio, buitrago, buitraqgo, buuitrago
34: 6 - legizamo, legizamon, leguizamo, leguizamon, leguzamon, lequizamon
35: 6 - estuiñan, estupinan, estupiñan, estupiñana, estupiñanm, estupuñan
36: 6 - correa, correal, correo, correra, corresa, currea
37: 6 - solorza, solorzano, solosa, soloza, tolosa, toloza
38: 6 - basquez, vaquez, vasques, vasquez, vazques, vazquez
39: 6 - mopreno, morenio, moreno, morenop, morerno, morreno
40: 6 - rodero, romero, ropero, ropoero, rosero, royero
41: 6 - chistancho, cristacho, cristancho, cristanncho, critancho, tristancho
42: 6 - piraban, piracon, piracun, pirajan, pirajon, pirazan
43: 6 - albarracil, albarracin, albarracion, albarrracin, albbarracin, albrracin
44: 6 - saurez, suaez, suarez, suerez, suraez, surez
45: 6 - barraza, paarada, padraza, parada, saraza, zaraza
46: 6 - cuchibague, cuchimaque, cuchivage, cuchivague, cuchivaguen, cuchivaque
47: 6 - aguire, aguirre, aguirree, aguirrre, agurre, aquirre
48: 6 - larota, larotta, larrota, larrotta, larrotya, lorrota
49: 6 - batista, baustista, bautisat, bautisata, bautista, bautistya
50: 6 - foraquira, raquira, sotaqira, sotaquira, sotquira, zotaquira
51: 6 - alalrcon, alarccon, alarco, alarcon, alercon, alrcon
52: 6 - umbacia, umbariba, umbarila, umbarilla, umbariva, umbasia
53: 6 - ramireez, ramires, ramirez, ramirz, rammirez, ramoirez
54: 6 - carvaja, carvajal, carvalja, carvasjal, carvjal, cavajal
55: 6 - quijntero, quintero, quintro, quitero, quito, quntero
56: 5 - pinson, pinzo, pinzon, pizon, pnzon
57: 5 - guayaban, guayacan, guayasan, guayatan, guayazan
58: 5 - canaria, cobaria, cogaria, covaria, cusaria
59: 5 - pedraza, pedroza, pedrozo, pedrza, peroza
60: 5 - badillo, basallo, basayo, casalla, castllo
61: 5 - alfanso, alfonso, alfonzo, alfoso, alonso
62: 5 - goya, joya, juya, moya, noya
63: 5 - bourdon, cardona, cordoba, cordon, coredor
64: 5 - juica, juisa, juiza, junca, quica
65: 5 - celi, celia, celis, celiz, celys
66: 5 - mena, mera, mesa, meta, meza
67: 5 - marino, mario, mariño, meriño, nariño
68: 5 - raba, rada, raga, rava, saba
69: 5 - brijalba, grigalba, grijaba, grijalba, grijalva
70: 5 - alaya, amaya, amya, anaya, maya
71: 5 - eña, pena, peña, piña, prña
72: 5 - bossa, lossa, nossa, ossa, sossa
73: 5 - majica, mijica, mojica, mujica, nojica
74: 5 - benal, berna, bernal, brnal, vernal
75: 5 - cobos, tobo, tobon, tobos, toros
76: 5 - mecha, mocha, ocha, rocha, socha
77: 5 - cagua, cegua, cogua, segua, tegua
78: 5 - acera, bandera, madera, mancera, munera
79: 5 - candela, caqueza, cañola, cañuela, peñuela
80: 5 - fuentes, fuentres, nfuentes, pentes, puentes
81: 5 - rativa, riativa, ritiva, sativa, sistiva
82: 5 - amendaño, avedaño, avendano, avendaño, avendaños
83: 5 - sanabria, sanabrias, sanabruia, sanbria, zanabria
84: 5 - piazas, piazaz, plaza, plazas, plazaz
85: 5 - narajo, naranj, naranja, naranjo, nranjo
86: 5 - gorosso, gros, groso, gross, grosso
87: 5 - gillen, guillen, guilleng, guillent, guillin
88: 5 - cibides, cobides, cubides, cubidez, cuvides
89: 5 - ladines, laines, lainez, landines, landinez
90: 5 - hoguin, holgui, holguin, holiguin, olguin
91: 5 - acencio, ascencio, ascencion, asencio, atencio
92: 5 - botero, coteiro, coterio, lotero, otero
93: 5 - vagas, vasrgas, vcargas, vragas, vrgas
94: 5 - lambraño, sambrano, sambraño, zamabrano, zambrano
95: 5 - velasques, velasquez, velasquz, velazques, velazquez
96: 5 - cabiales, cabieles, caviedes, cavieles, criales
97: 5 - manrique, manrrique, marique, mnarique, suarique
98: 5 - mende, mendes, mendez, mendi, mendis
99: 5 - castañeda, casteneda, casteñeda, castñeda, catañeda
100: 5 - sacedo, salcedo, saucedo, slacedo, slcedo
101: 5 - acellaneda, avalleneda, avellanada, avellaneda, avellneda
102: 5 - pararroyo, pataroyo, patarrollo, patarroyo, patorroyo
103: 5 - ceepeda, cepeda, ncepeda, sepeda, vepeda
104: 5 - camarga, camargao, camargo, camoargo, carmargo
105: 5 - colemnares, colmebares, colmenares, colmenarez, comenares
106: 5 - maria, marin, marta, martha, martin
107: 5 - chaco, chacon, chica, chico, ochica
108: 5 - campillo, capello, capillo, carillo, carrillo
109: 5 - montenefro, montenegro, montenero, montengro, montnegro
110: 5 - pulida, pulido, pulidso, pulio, puliso
111: 5 - mamosalva, manosalba, manosalva, manossalba, monosalva
112: 5 - vilalte, vilate, villarte, villate, villater
113: 5 - caldera, caldero, calderon, calero, cañlderon
114: 5 - floria, florian, floriano, florido, florin
115: 5 - corrdedor, corredin, corredo, corredop, corredor
116: 5 - chicino, chisimo, chisino, chisito, chitibo
117: 5 - beniitez, benites, benitez, benito, benitz
118: 4 - monsalve, monsalvo, monsave, monzalve
119: 4 - camino, campiño, cancino, gambino
120: 4 - saez, saiz, sanz, zaiz
121: 4 - talero, toledo, tolero, tomero
122: 4 - macia, macias, masias, matias
123: 4 - jara, lara, lora, yara
124: 4 - molano, olano, solano, solao
125: 4 - mozo, polo, pozo, rozo
126: 4 - feres, jeres, jerez, peres
127: 4 - alvis, galvis, galviz, galvys
128: 4 - rabelo, ravelo, raveo, revelo
129: 4 - nilo, nino, nio, niño
130: 4 - manco, manso, marco, menco
131: 4 - baron, taran, taron, varon
132: 4 - laoiza, loaiza, loiaza, loiza
133: 4 - cuero, cuervo, cuevo, curvo
134: 4 - lima, lina, luna, mina
135: 4 - coca, cuca, cupa, cuta
136: 4 - aizales, vidal, vidales, vides
137: 4 - storres, torres, torresa, torrres
138: 4 - barahona, baraona, barohona, narahona
139: 4 - cabo, cano, caro, cobo
140: 4 - bianco, blanca, blanco, blnco
141: 4 - falla, valla, valle, villa
142: 4 - bolivar, monevar, motivar, olivar
143: 4 - chativa, chitiva, chitivo, cuitiva
144: 4 - camaho, camayo, camaño, tamayo
145: 4 - neita, neusa, neuta, teuta
146: 4 - matta, mota, motoa, motta
147: 4 - aeguello, argello, arguello, argullo
148: 4 - milan, milla, millan, villan
149: 4 - osma, usma, usme, ussa
150: 4 - monzoque, nonsoque, nonzaque, nonzoque
151: 4 - ortin, ortis, ortix, ortiz
152: 4 - majia, mejia, mesia, mijia
153: 4 - albarado, alvarado, alvarao, alvardo
154: 4 - caña, chaka, chala, chaña
